freq (Hz),X (m^2/s^3),Y (m^2/s^3),Z (m^2/s^3)
7.87399,0.283329,0.143163,0.111514
7.89837,0.229621,0.0919023,0.227905
7.92275,0.0965979,0.0589819,0.201209
7.94712,0.0830761,0.0938639,0.275157
7.9715,0.11375,0.11099,0.188005
7.99588,0.248817,0.149344,0.222959
8.02026,0.0956908,0.185407,0.30045
8.04464,0.0561358,0.156322,0.277444
8.06901,0.0694397,0.0886624,0.114441
8.09339,0.105018,0.10743,0.141413
8.11777,0.0884492,0.133835,0.121271
8.14215,0.0514021,0.0805271,0.0698361
8.16652,0.11427,0.0906055,0.135582
8.1909,0.244037,0.182264,0.131145
8.21528,0.165558,0.153402,0.0966978
8.23966,0.115592,0.121783,0.0608802
8.26403,0.0899179,0.120592,0.107663
8.28841,0.11846,0.139399,0.0627044
8.31279,0.109736,0.247778,0.0583136
8.33717,0.105315,0.292007,0.0976461
8.36154,0.104366,0.217236,0.147418
8.38592,0.0478038,0.0706696,0.170288
8.4103,0.129499,0.104963,0.119489
8.43468,0.188981,0.150819,0.119068
8.45906,0.142822,0.123891,0.127275
8.48343,0.0621359,0.0800641,0.102343
8.50781,0.104645,0.151058,0.0960547
8.53219,0.107224,0.115843,0.0933066
8.55657,0.142589,0.0537758,0.0901836
8.58094,0.129412,0.133537,0.0881557
8.60532,0.104233,0.155959,0.174662
8.6297,0.036208,0.0529913,0.0822832
8.65408,0.0664994,0.127999,0.0727376
8.67845,0.0796125,0.0935883,0.0898836
8.70283,0.0964922,0.0755915,0.116586
8.72721,0.0601635,0.0571502,0.0633432
8.75159,0.0696772,0.0564133,0.0853077
8.77597,0.102078,0.0936764,0.07149
8.80034,0.0704623,0.0917061,0.0487808
8.82472,0.0681535,0.109509,0.0519802
8.8491,0.0909177,0.121094,0.0820726
8.87348,0.112812,0.174063,0.192027
8.89785,0.0767032,0.0880176,0.100798
8.92223,0.0414523,0.041918,0.0522371
8.94661,0.0388394,0.030539,0.0612163
8.97099,0.0681048,0.105906,0.111378
8.99536,0.0469204,0.111157,0.0700421
9.01974,0.0566353,0.0803254,0.0799273
9.04412,0.0385226,0.0518629,0.0283619
9.0685,0.0519626,0.030648,0.0288841
9.09288,0.0510572,0.0533533,0.0538312
9.11725,0.0261145,0.0247252,0.046442
9.14163,0.0711315,0.0834617,0.0545044
9.16601,0.113249,0.13978,0.120831
